energy H2_300_initial H2_300_initial_ref
11558.0 4.020988167749716 -0.6280740690017917
11558.2 4.034515805273548 -0.614525848640566
11558.4 4.045306396655887 -0.599439882108939
11558.6 4.057340550291677 -0.5837607247708718
11558.8 4.072532401890162 -0.5665481249997792
11559.0 4.0898393259756975 -0.5473468446647561
11559.2 4.1058411276930045 -0.5286414220311149
11559.4 4.12023426940862 -0.5074015570164627
11559.6 4.140126375888644 -0.48442265950574076
11559.8 4.16240439355192 -0.4600679269933399
11560.0 4.180847222583553 -0.4342668379938938
11560.2 4.206753301838985 -0.40596194033522764
11560.4 4.228546083135556 -0.375950452698398
11560.6 4.255499067100232 -0.3436500237870654
11560.8 4.286406068646247 -0.3083167692508427
11561.0 4.313534874658509 -0.27114158188892945
11561.2 4.346930800022144 -0.23096922073368004
11561.4 4.385814675823089 -0.18718442236672675
11561.6 4.42569013381283 -0.1415597204259851
11561.8 4.460780637786097 -0.09201105731499737
11562.0 4.506430538405674 -0.038528470230286826
11562.2 4.554948411051545 0.018072578368286237
11562.4 4.604937532697425 0.07726711967595161
11562.6 4.6592193377212965 0.14141677481429127
11562.8 4.7184413995369665 0.20854797095748048
11563.0 4.775437203586285 0.278344706652665
11563.2 4.837307703340183 0.3521376447269201
11563.4 4.902120330345831 0.42855434299780265
11563.6 4.966545179003792 0.5054750694506612
11563.8 5.03027748689023 0.5858754126964235
11564.0 5.098291666758938 0.6645170222284256
11564.2 5.164501463229577 0.7426663477362384
11564.4 5.229616849433305 0.822580317773726
11564.6 5.291771039328006 0.89779204285898
11564.8 5.348422081561642 0.9694286886882342
11565.0 5.405098779705315 1.035895657911759
11565.2 5.459822088927858 1.0976440325836614
11565.4 5.506725846263095 1.1476715283146992
11565.6 5.547301291555258 1.1940222198340233
11565.8 5.58322205396104 1.2297945469656573
11566.0 5.620145466988719 1.2587989223516793
11566.2 5.650708162203015 1.2796253975717455
11566.4 5.671131700404997 1.291044878590053
11566.6 5.6890577085312275 1.2947586673972649
11566.8 5.703232624281459 1.293366665389747
11567.0 5.714888636620537 1.2870694215873084
11567.2 5.719635591841263 1.2728658804206943
11567.4 5.7237516104181 1.2584370194595087
11567.6 5.722940471346867 1.2399361330665557
11567.8 5.717459363905122 1.2192105778426605
11568.0 5.713465283100897 1.1982637481039242
11568.2 5.702949912795222 1.1763913108979882
11568.4 5.6938187249956895 1.151854865805215
11568.6 5.68280365605351 1.131133194471815
11568.8 5.668363343425043 1.1077591397493551
11569.0 5.655094367906725 1.0841123666550867
11569.2 5.640803608037188 1.0650540734893037
11569.4 5.624580756063414 1.0444811383844685
11569.6 5.609613155199389 1.0258696779892875
11569.8 5.590208706930758 1.0068973855596537
11570.0 5.571669776557021 0.9896044845167608
11570.2 5.559944900559444 0.9728722828992239
11570.4 5.544528106012151 0.9575393342507424
11570.6 5.527777781601347 0.9421249204945612
11570.8 5.51055382450366 0.9279369372856243
11571.0 5.497637368564716 0.9146223918226991
11571.2 5.480677473707912 0.9017494464177015
11571.4 5.46672122283095 0.8895408455830781
11571.6 5.453406431282768 0.878134438767452
11571.8 5.441125943318542 0.8677251063397275
11572.0 5.425164527597054 0.8571154840038578
11572.2 5.414505284981702 0.8475743175928337
11572.4 5.403364911467741 0.8376932220339915
11572.6 5.3930396926984185 0.8287266418034206
