# Null title                                   Feff8L (EXAFS)       0.1      
# POT  Non-SCF, core-hole, AFOLP (folp(0)= 1.150)
# Abs   Z=78 Rmt= 1.464 Rnm= 1.499 L3 shell
# Pot 1 Z=78 Rmt= 1.477 Rnm= 1.515
# Gam_ch=5.171E+00 H-L exch
# Mu=-2.715E-01 kf=2.035E+00 Vint=-1.605E+01 Rs_int= 1.782
# PATH  Rmax= 5.000,  Keep_limit= 0.00, Heap_limit 0.00  Pwcrit= 2.50%
#  S02=1.000                                        Global_sig2= 0.00000
#  Curved wave amplitude ratio filter   4.000%
#     file         sig2 tot  cw amp ratio   deg  nlegs   reff  inp sig2
#           1       0.00000    100.00     12.00     2   2.7748
#           2       0.00000     25.11      6.00     2   3.9242
#           3       0.00000     14.84     48.00     3   4.1622
#           4       0.00000      5.81     48.00     3   4.7369
#           5       0.00000     59.98     24.00     2   4.8061
#     5/   5 paths used
#  xsedge+50, used to normalize mu           3.9222E-04
#  -----------------------------------------------------------------------
#  omega    e    k    mu    mu0     chi     @#
   12293.912    730.569  13.850  8.44465E-01  7.95463E-01  6.13802E-02
   12299.198    735.855  13.900  8.45550E-01  7.94486E-01  6.40467E-02
   12304.504    741.161  13.950  8.40546E-01  7.93510E-01  5.90723E-02
   12309.828    746.485  14.000  8.30009E-01  7.92533E-01  4.71272E-02
   12315.172    751.829  14.050  8.15303E-01  7.91534E-01  2.99303E-02
   12320.534    757.191  14.100  7.98571E-01  7.90535E-01  1.01325E-02
   12325.916    762.573  14.150  7.82072E-01  7.89536E-01 -9.42392E-03
   12331.317    767.973  14.200  7.67908E-01  7.88536E-01 -2.60805E-02
   12336.736    773.393  14.250  7.57671E-01  7.87537E-01 -3.78113E-02
   12342.175    778.832  14.300  7.52191E-01  7.86538E-01 -4.35431E-02
   12347.633    784.290  14.350  7.51440E-01  7.85539E-01 -4.32872E-02
   12353.110    789.766  14.400  7.54598E-01  7.84539E-01 -3.80610E-02
   12358.606    795.262  14.450  7.60269E-01  7.83540E-01 -2.96217E-02
   12364.120    800.777  14.500  7.66797E-01  7.82541E-01 -2.00676E-02
   12369.654    806.311  14.550  7.72616E-01  7.81541E-01 -1.13928E-02
   12375.208    811.864  14.600  7.76563E-01  7.80542E-01 -5.08532E-03
   12380.780    817.436  14.650  7.78097E-01  7.79543E-01 -1.85064E-03
   12386.371    823.028  14.700  7.77362E-01  7.78544E-01 -1.51397E-03
   12391.981    828.638  14.750  7.75115E-01  7.77544E-01 -3.11745E-03
   12397.610    834.267  14.800  7.72509E-01  7.76545E-01 -5.18744E-03
   12403.259    839.915  14.850  7.70797E-01  7.75546E-01 -6.11178E-03
   12408.926    845.583  14.900  7.71020E-01  7.74547E-01 -4.54435E-03
   12414.612    851.269  14.950  7.73742E-01  7.73547E-01  2.50746E-04
   12420.318    856.975  15.000  7.78886E-01  7.72548E-01  8.18959E-03
   12426.042    862.699  15.050  7.85664E-01  7.71512E-01  1.83137E-02
   12431.786    868.443  15.100  7.92851E-01  7.70476E-01  2.89958E-02
   12437.548    874.205  15.150  7.98908E-01  7.69440E-01  3.82407E-02
   12443.330    879.987  15.200  8.02332E-01  7.68404E-01  4.40919E-02
   12449.131    885.788  15.250  8.01976E-01  7.67368E-01  4.50388E-02
   12454.950    891.607  15.300  7.97287E-01  7.66332E-01  4.03430E-02
   12460.789    897.446  15.350  7.88447E-01  7.65296E-01  3.02149E-02
   12466.647    903.304  15.400  7.76352E-01  7.64260E-01  1.58047E-02
