# Null title                                   Feff8L (EXAFS)       0.1      
# POT  Non-SCF, core-hole, AFOLP (folp(0)= 1.150)
# Abs   Z=78 Rmt= 1.464 Rnm= 1.499 L3 shell
# Pot 1 Z=78 Rmt= 1.477 Rnm= 1.515
# Gam_ch=5.171E+00 H-L exch
# Mu=-2.715E-01 kf=2.035E+00 Vint=-1.605E+01 Rs_int= 1.782
# PATH  Rmax= 5.000,  Keep_limit= 0.00, Heap_limit 0.00  Pwcrit= 2.50%
#  S02=1.000                                        Global_sig2= 0.00000
#  Curved wave amplitude ratio filter   4.000%
#     file         sig2 tot  cw amp ratio   deg  nlegs   reff  inp sig2
#           1       0.00000    100.00     12.00     2   2.7748
#           2       0.00000     25.11      6.00     2   3.9242
#           3       0.00000     14.84     48.00     3   4.1622
#           4       0.00000      5.81     48.00     3   4.7369
#           5       0.00000     59.98     24.00     2   4.8061
#     5/   5 paths used
#  -----------------------------------------------------------------------
#       k          chi          mag           phase @#
    11.7500    3.634023E-03  1.647079E-02  5.946780E+01
    11.8000    2.036194E-03  1.787044E-02  5.957607E+01
    11.8500   -8.569655E-04  2.006832E-02  5.973298E+01
    11.9000   -5.542507E-03  2.273708E-02  5.993651E+01
    11.9500   -1.197230E-02  2.561693E-02  6.017656E+01
    12.0000   -1.950123E-02  2.852261E-02  6.044310E+01
    12.0500   -2.684656E-02  3.127539E-02  6.072239E+01
    12.1000   -3.281584E-02  3.383306E-02  6.101522E+01
    12.1500   -3.606486E-02  3.612278E-02  6.131769E+01
    12.2000   -3.556641E-02  3.808850E-02  6.162701E+01
    12.2500   -3.085864E-02  3.968677E-02  6.194109E+01
    12.3000   -2.218399E-02  4.088433E-02  6.225832E+01
    12.3500   -1.048566E-02  4.165683E-02  6.257740E+01
    12.4000    2.741308E-03  4.198819E-02  6.289719E+01
    12.4500    1.571499E-02  4.187044E-02  6.321660E+01
    12.5000    2.669329E-02  4.130383E-02  6.353454E+01
    12.5500    3.429372E-02  4.029736E-02  6.384977E+01
    12.6000    3.773893E-02  3.886965E-02  6.416086E+01
    12.6500    3.697628E-02  3.705051E-02  6.446596E+01
    12.7000    3.264687E-02  3.488341E-02  6.476268E+01
    12.7500    2.591236E-02  3.242966E-02  6.504776E+01
    12.8000    1.817898E-02  2.977524E-02  6.531670E+01
    12.8500    1.078072E-02  2.704197E-02  6.556338E+01
    12.9000    4.693041E-03  2.440415E-02  6.577994E+01
    12.9500    3.414357E-04  2.210834E-02  6.595800E+01
    13.0000   -2.451816E-03  2.047848E-02  6.609346E+01
    13.0500   -4.342033E-03  1.981467E-02  6.619437E+01
